@relation "asm"

@attribute iid numeric
@attribute enclosureType string
@attribute catchedType string
@attribute isFromArgument {true, false}
@attribute varNames string
@attribute varTypes string
@attribute constants string
@attribute methodNames string
@attribute methodExceptions string
@attribute otherExceptions string
@attribute classid{org.objectweb.asm.tree.analysis.AnalyzerException,java.lang.IllegalStateException,java.lang.AssertionError,java.lang.UnsupportedOperationException,java.lang.IllegalArgumentException,org.objectweb.asm.tree.UnsupportedClassVersionException}

@data
10,"SwitchStatement","null",true,"insn ","org.objectweb.asm.tree.AbstractInsnNode int ","","getOpcode ","AnalyzerException ","org.objectweb.asm.tree.analysis.AnalyzerException org.objectweb.asm.tree.analysis.AnalyzerException org.objectweb.asm.tree.analysis.AnalyzerException org.objectweb.asm.tree.analysis.AnalyzerException org.objectweb.asm.tree.analysis.AnalyzerException org.objectweb.asm.tree.analysis.AnalyzerException org.objectweb.asm.tree.analysis.AnalyzerException org.objectweb.asm.tree.analysis.AnalyzerException org.objectweb.asm.tree.analysis.AnalyzerException org.objectweb.asm.tree.analysis.AnalyzerException ",org.objectweb.asm.tree.analysis.AnalyzerException
11,"IfStatement","null",true,"num stack frame ","int org.objectweb.asm.tree.analysis.Frame org.objectweb.asm.tree.analysis.Frame ","","","AnalyzerException ","",org.objectweb.asm.tree.analysis.AnalyzerException
12,"IfStatement","null",false,"","java.lang.Class org.objectweb.asm.tree.analysis.SimpleVerifier ","","getClass ","","",java.lang.IllegalStateException
13,"MethodDeclaration","null",false,"null_type array array type ","org.objectweb.asm.Type int boolean ","NULL ","equals getSort ","AnalyzerException ","",java.lang.AssertionError
14,"SwitchStatement","null",false,"expected type ","org.objectweb.asm.Type int ","","getSort ","","",java.lang.AssertionError
15,"MethodDeclaration","null",false,"","","","","","",java.lang.UnsupportedOperationException
16,"IfStatement","null",false,"","org.objectweb.asm.tree.analysis.SourceInterpreter java.lang.Class ","","getClass ","","",java.lang.IllegalStateException
17,"IfStatement","null",false,"","java.lang.Class org.objectweb.asm.tree.analysis.BasicVerifier ","","getClass ","","",java.lang.IllegalStateException
18,"IfStatement","null",true,"value ","org.objectweb.asm.tree.analysis.BasicValue boolean ","","isReference ","AnalyzerException ","org.objectweb.asm.tree.analysis.AnalyzerException org.objectweb.asm.tree.analysis.AnalyzerException ",org.objectweb.asm.tree.analysis.AnalyzerException
19,"IfStatement","null",true,"value returnaddress_value ","org.objectweb.asm.tree.analysis.BasicValue boolean ","","isReference equals ","AnalyzerException ","org.objectweb.asm.tree.analysis.AnalyzerException org.objectweb.asm.tree.analysis.AnalyzerException ",org.objectweb.asm.tree.analysis.AnalyzerException
20,"IfStatement","null",true,"expected value ","org.objectweb.asm.tree.analysis.BasicValue org.objectweb.asm.tree.analysis.Value boolean ","","equals ","AnalyzerException ","org.objectweb.asm.tree.analysis.AnalyzerException org.objectweb.asm.tree.analysis.AnalyzerException ",org.objectweb.asm.tree.analysis.AnalyzerException
21,"IfStatement","null",true,"value ","org.objectweb.asm.tree.analysis.BasicValue boolean ","","isArrayValue ","AnalyzerException ","org.objectweb.asm.tree.analysis.AnalyzerException java.lang.AssertionError org.objectweb.asm.tree.analysis.AnalyzerException ",org.objectweb.asm.tree.analysis.AnalyzerException
22,"IfStatement","null",true,"value ","org.objectweb.asm.tree.analysis.BasicValue boolean ","","isReference ","AnalyzerException ","org.objectweb.asm.tree.analysis.AnalyzerException java.lang.AssertionError org.objectweb.asm.tree.analysis.AnalyzerException ",org.objectweb.asm.tree.analysis.AnalyzerException
23,"SwitchStatement","null",true,"insn ","org.objectweb.asm.tree.AbstractInsnNode int ","","getOpcode ","AnalyzerException ","org.objectweb.asm.tree.analysis.AnalyzerException org.objectweb.asm.tree.analysis.AnalyzerException org.objectweb.asm.tree.analysis.AnalyzerException ",java.lang.AssertionError
24,"IfStatement","null",true,"expected value ","org.objectweb.asm.tree.analysis.BasicValue boolean ","","isSubTypeOf ","AnalyzerException ","org.objectweb.asm.tree.analysis.AnalyzerException org.objectweb.asm.tree.analysis.AnalyzerException java.lang.AssertionError ",org.objectweb.asm.tree.analysis.AnalyzerException
25,"SwitchStatement","null",true,"insn ","org.objectweb.asm.tree.AbstractInsnNode int ","","getOpcode ","AnalyzerException ","org.objectweb.asm.tree.analysis.AnalyzerException org.objectweb.asm.tree.analysis.AnalyzerException ",java.lang.AssertionError
26,"IfStatement","null",true,"value1 expected1 ","org.objectweb.asm.tree.analysis.BasicValue boolean ","","isSubTypeOf ","AnalyzerException ","java.lang.AssertionError org.objectweb.asm.tree.analysis.AnalyzerException ",org.objectweb.asm.tree.analysis.AnalyzerException
27,"IfStatement","null",true,"value2 expected2 ","org.objectweb.asm.tree.analysis.BasicValue boolean ","","isSubTypeOf ","AnalyzerException ","java.lang.AssertionError org.objectweb.asm.tree.analysis.AnalyzerException ",org.objectweb.asm.tree.analysis.AnalyzerException
28,"SwitchStatement","null",true,"insn ","org.objectweb.asm.tree.AbstractInsnNode int ","","getOpcode ","AnalyzerException ","org.objectweb.asm.tree.analysis.AnalyzerException org.objectweb.asm.tree.analysis.AnalyzerException org.objectweb.asm.tree.analysis.AnalyzerException ",java.lang.AssertionError
29,"IfStatement","null",true,"value1 expected1 ","org.objectweb.asm.tree.analysis.BasicValue boolean ","","isSubTypeOf ","AnalyzerException ","java.lang.AssertionError org.objectweb.asm.tree.analysis.AnalyzerException org.objectweb.asm.tree.analysis.AnalyzerException ",org.objectweb.asm.tree.analysis.AnalyzerException
30,"IfStatement","null",true,"value2 int_value ","org.objectweb.asm.tree.analysis.BasicValue boolean ","","equals ","AnalyzerException ","java.lang.AssertionError org.objectweb.asm.tree.analysis.AnalyzerException org.objectweb.asm.tree.analysis.AnalyzerException ",org.objectweb.asm.tree.analysis.AnalyzerException
31,"IfStatement","null",true,"value3 expected3 ","org.objectweb.asm.tree.analysis.BasicValue boolean ","","isSubTypeOf ","AnalyzerException ","java.lang.AssertionError org.objectweb.asm.tree.analysis.AnalyzerException org.objectweb.asm.tree.analysis.AnalyzerException ",org.objectweb.asm.tree.analysis.AnalyzerException
32,"IfStatement","null",false,"int_value value ","org.objectweb.asm.tree.analysis.BasicValue boolean ","","equals ","AnalyzerException ","org.objectweb.asm.tree.analysis.AnalyzerException org.objectweb.asm.tree.analysis.AnalyzerException ",org.objectweb.asm.tree.analysis.AnalyzerException
