@relation "poi"

@attribute iid numeric
@attribute enclosureType string
@attribute catchedType string
@attribute isFromArgument {true, false}
@attribute varNames string
@attribute varTypes string
@attribute constants string
@attribute methodNames string
@attribute methodExceptions string
@attribute otherExceptions string
@attribute classid{org.apache.poi.EncryptedDocumentException,java.io.IOException,java.lang.IllegalStateException,java.lang.IllegalArgumentException,java.lang.UnsupportedOperationException,java.lang.RuntimeException,java.util.NoSuchElementException,org.apache.poi.util.RecordFormatException,org.apache.poi.hpsf.HPSFRuntimeException,java.lang.Exception,java.lang.ArrayIndexOutOfBoundsException,java.lang.NullPointerException,java.lang.IndexOutOfBoundsException,java.io.FileNotFoundException,org.apache.poi.ss.formula.eval.NotImplementedException,org.apache.poi.ss.formula.FormulaParseException,org.apache.poi.ss.formula.eval.EvaluationException,org.apache.poi.ss.formula.eval.ErrorEval,org.apache.poi.ooxml.POIXMLException,org.apache.poi.openxml4j.exceptions.InvalidFormatException,org.apache.poi.openxml4j.exceptions.InvalidOperationException,org.apache.poi.xssf.binary.XSSFBParseException,org.apache.poi.hslf.exceptions.HSLFException,org.apache.poi.hslf.exceptions.CorruptPowerPointFileException}

@data
30,"IfStatement","null",true,"length offset picture data ","int byte ","NULL ","","","",java.lang.IllegalArgumentException
31,"MethodDeclaration","null",false,"","","","","","",java.lang.UnsupportedOperationException
32,"IfStatement","null",false,"size ","int ","","getRecordSize ","","",org.apache.poi.util.RecordFormatException
33,"IfStatement","null",true,"length field_1_ u i d ","byte int ","NULL ","","","",java.lang.IllegalArgumentException
34,"IfStatement","null",true,"uid length ","byte int ","NULL ","","","",java.lang.IllegalArgumentException
35,"IfStatement","null",false,"bytes remaining ","int ","","","","",org.apache.poi.util.RecordFormatException
36,"IfStatement","null",false,"bytes remaining ","int ","","","","",org.apache.poi.util.RecordFormatException
37,"CatchClause","java.lang.IllegalArgumentException",true,"cls input ","java.lang.reflect.Method java.io.InputStream java.lang.Object java.lang.Class java.lang.Class ","createExtractor NULL ","invoke getDeclaredMethod ","IOException ","java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
38,"CatchClause","java.lang.Exception",true,"cls input ","java.lang.reflect.Method java.io.InputStream java.lang.Object java.lang.Class java.lang.Class ","createExtractor NULL ","invoke getDeclaredMethod ","IOException ","java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
39,"CatchClause","java.lang.ClassNotFoundException",false,"","java.lang.Class java.lang.ClassLoader org.apache.poi.extractor.OLE2ExtractorFactory ","org.apache.poi.extractor.ole2.OLE2ScratchpadExtractorFactory ","getClassLoader loadClass ","","",java.lang.IllegalStateException
40,"CatchClause","java.lang.IllegalArgumentException",true,"cls ext poifs dir ","org.apache.poi.extractor.POITextExtractor java.lang.reflect.Method org.apache.poi.poifs.filesystem.DirectoryNode java.lang.Object java.lang.Class java.lang.Class ","NULL createExtractor ","invoke getDeclaredMethod ","IOException ","org.apache.poi.hssf.OldExcelFormatException java.lang.IllegalArgumentException java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
41,"CatchClause","java.lang.Exception",true,"cls ext poifs dir ","org.apache.poi.extractor.POITextExtractor java.lang.reflect.Method org.apache.poi.poifs.filesystem.DirectoryNode java.lang.Object java.lang.Class java.lang.Class ","NULL createExtractor ","invoke getDeclaredMethod ","IOException ","org.apache.poi.hssf.OldExcelFormatException java.lang.IllegalArgumentException java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
42,"MethodDeclaration","null",true,"ext old_workbook_dir_entry_name workbook name poifs dir ","java.lang.String org.apache.poi.poifs.filesystem.DirectoryNode boolean org.apache.poi.extractor.POITextExtractor ","NULL ","hasEntry getPreferEventExtractor ","IOException ","org.apache.poi.hssf.OldExcelFormatException java.lang.IllegalArgumentException java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
43,"IfStatement","null",false,"root ","org.apache.poi.poifs.filesystem.DirectoryEntry ","NULL ","","IOException ","java.lang.IllegalArgumentException ",java.lang.IllegalStateException
44,"CatchClause","java.lang.Exception",true,"cls ext non p o i f s dirs ","java.lang.reflect.Method org.apache.poi.extractor.POIOLE2TextExtractor java.util.List java.util.List java.util.List java.lang.Object java.lang.Class java.lang.Class ","identifyEmbeddedResources NULL ","invoke getDeclaredMethod ","IOException ","java.lang.IllegalStateException ",java.lang.IllegalArgumentException
45,"SwitchStatement","null",false,"_type ","int ","","","","",java.lang.UnsupportedOperationException
46,"IfStatement","null",false,"long length max_value ","int long java.lang.Integer ","","","","",java.lang.UnsupportedOperationException
47,"IfStatement","null",false,"vt_i2 type ","int long org.apache.poi.hpsf.Variant ","","","UnsupportedEncodingException ","",org.apache.poi.hpsf.HPSFRuntimeException
48,"IfStatement","null",true,"value ","java.lang.Object java.util.Date ","","","","",org.apache.poi.hpsf.HPSFRuntimeException
49,"IfStatement","null",false,"","java.lang.Object java.lang.Long java.lang.Integer ","","","","",org.apache.poi.hpsf.HPSFRuntimeException
50,"CatchClause","org.apache.poi.hpsf.HPSFRuntimeException",false,"","int ","","calcSize ","","org.apache.poi.hpsf.HPSFRuntimeException ",org.apache.poi.hpsf.HPSFRuntimeException
51,"CatchClause","java.lang.Exception",false,"","int ","","calcSize ","","org.apache.poi.hpsf.HPSFRuntimeException ",org.apache.poi.hpsf.HPSFRuntimeException
52,"IfStatement","null",false,"","int ","","getSectionCount ","","",org.apache.poi.hpsf.HPSFRuntimeException
53,"MethodDeclaration","null",false,"","","","","","",java.lang.UnsupportedOperationException
54,"CatchClause","java.io.IOException",true,"type lei length max_record_length ","byte int org.apache.poi.util.LittleEndianByteArrayInputStream long org.apache.poi.util.IOUtils org.apache.poi.hpsf.ReadingNotSupportedException ","","toByteArray ","ReadingNotSupportedException UnsupportedEncodingException ","org.apache.poi.hpsf.ReadingNotSupportedException org.apache.poi.hpsf.ReadingNotSupportedException ",java.lang.RuntimeException
55,"IfStatement","null",false,"number of scalars long max_value ","int long java.lang.Integer ","","","","",java.lang.UnsupportedOperationException
56,"IfStatement","null",false,"section count ","int ","","","UnsupportedEncodingException ","",org.apache.poi.hpsf.HPSFRuntimeException
57,"MethodDeclaration","null",false,"","","","","","",java.lang.UnsupportedOperationException
58,"IfStatement","null",true,"name ","java.lang.String org.apache.poi.hpsf.CustomProperty boolean ","","equals getName ","","",java.lang.IllegalArgumentException
59,"IfStatement","null",true,"value ","java.lang.Object java.util.Date ","","","","",java.lang.IllegalStateException
60,"MethodDeclaration","null",false,"","","","","","",java.lang.IllegalStateException
61,"MethodDeclaration","null",false,"","","","","","",java.lang.IllegalStateException
62,"IfStatement","null",true,"length params pos ","int java.lang.String ","","","","java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
63,"IfStatement","null",false,"sheet pos ","int ","","","","java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
64,"IfStatement","null",true,"length params pos ","int java.lang.String ","","","","",java.lang.IllegalArgumentException
65,"CatchClause","java.io.IOException",true,"_zero align each record data size new_line_chars global offset data header ","java.io.Writer int void char java.lang.String boolean byte ","","write flush hexDumpAligned ","","",java.lang.RuntimeException
66,"IfStatement","null",true,"len length off ","int byte ","NULL ","","IOException ","",java.lang.IllegalArgumentException
67,"IfStatement","null",true,"end delta start delta ","int ","","","","java.lang.RuntimeException ",java.lang.IllegalArgumentException
68,"CatchClause","java.io.IOException",true,"start delta buf data line data offset dump_line_len new_line_chars line start address end delta ","int char char byte void java.io.Writer ","","arraycopy writeHex getPrintableChar write ","","java.lang.IllegalArgumentException ",java.lang.RuntimeException
69,"IfStatement","null",true,"cell ","org.apache.poi.hssf.record.CellValueRecordInterface org.apache.poi.hssf.record.FormulaRecord ","","","","",java.lang.IllegalArgumentException
70,"MethodDeclaration","null",false,"","","","","","",org.apache.poi.util.RecordFormatException
71,"MethodDeclaration","null",false,"","","","","","",org.apache.poi.util.RecordFormatException
72,"CatchClause","java.lang.Exception",false,"biff stream ","java.io.FileInputStream void ","","open ","IOException ","",java.lang.Exception
73,"IfStatement","null",false,"book ","org.apache.poi.poifs.filesystem.DocumentNode ","NULL ","","IOException ","",java.io.IOException
