@relation "shiro"

@attribute iid numeric
@attribute enclosureType string
@attribute catchedType string
@attribute isFromArgument {true, false}
@attribute varNames string
@attribute varTypes string
@attribute constants string
@attribute methodNames string
@attribute methodExceptions string
@attribute otherExceptions string
@attribute classid{java.lang.IllegalStateException,java.lang.IllegalArgumentException,java.lang.NullPointerException,org.apache.shiro.config.ConfigurationException,org.apache.shiro.authc.AuthenticationException,org.apache.shiro.session.InvalidSessionException,org.apache.shiro.cache.CacheException}

@data
35,"CatchClause","java.lang.Throwable",true,"token info msg ","java.lang.String org.apache.shiro.authc.AuthenticationInfo org.apache.shiro.authc.AuthenticationToken org.apache.shiro.authc.AuthenticationException ","No account information found for authentication token  Authenticator instance.  Please check that it is configured correctly. ] by this  NULL ","doAuthenticate ","AuthenticationException ","java.lang.IllegalArgumentException org.apache.shiro.authc.AuthenticationException ",org.apache.shiro.authc.AuthenticationException
36,"MethodDeclaration","null",true,"service ","org.apache.shiro.authc.credential.PasswordService org.apache.shiro.authc.credential.HashingPasswordService ","","","","",java.lang.IllegalStateException
37,"IfStatement","null",false,"service ","org.apache.shiro.authc.credential.PasswordService ","NULL ","","","",java.lang.IllegalStateException
38,"MethodDeclaration","null",true,"credentials ","java.lang.Object java.lang.String org.apache.shiro.crypto.hash.Hash ","","","","",java.lang.IllegalArgumentException
39,"IfStatement","null",true,"hash algorithm name ","java.lang.String boolean org.apache.shiro.util.StringUtils ","","hasText ","","",java.lang.IllegalArgumentException
40,"IfStatement","null",false,"hash algorithm name ","java.lang.String ","NULL ","","IllegalStateException ","",java.lang.IllegalStateException
41,"IfStatement","null",true,"aggregate ","org.apache.shiro.authc.AuthenticationInfo org.apache.shiro.subject.PrincipalCollection boolean ","NULL ","getPrincipals isEmpty ","AuthenticationException ","",org.apache.shiro.authc.AuthenticationException
42,"IfStatement","null",false,"realms ","java.util.Collection boolean org.apache.shiro.util.CollectionUtils ","","isEmpty ","IllegalStateException ","",java.lang.IllegalStateException
43,"IfStatement","null",true,"","java.lang.Throwable org.apache.shiro.authc.AuthenticationException ","","","AuthenticationException ","org.apache.shiro.authc.AuthenticationException org.apache.shiro.authc.UnknownAccountException ",org.apache.shiro.authc.AuthenticationException
44,"IfStatement","null",true,"","java.lang.Throwable org.apache.shiro.authc.AuthenticationException ","","","AuthenticationException ","org.apache.shiro.authc.AuthenticationException org.apache.shiro.authc.UnknownAccountException ",org.apache.shiro.authc.AuthenticationException
