@relation "itext"

@attribute iid numeric
@attribute enclosureType string
@attribute catchedType string
@attribute isFromArgument {true, false}
@attribute varNames string
@attribute varTypes string
@attribute constants string
@attribute methodNames string
@attribute methodExceptions string
@attribute otherExceptions string
@attribute classid{java.lang.IllegalArgumentException,java.lang.IndexOutOfBoundsException,com.itextpdf.kernel.PdfException,java.lang.UnsupportedOperationException,java.lang.RuntimeException,com.itextpdf.barcodes.qrcode.WriterException,com.itextpdf.io.IOException,java.io.IOException,java.lang.IllegalStateException,com.itextpdf.io.codec.brotli.dec.BrotliRuntimeException,com.itextpdf.io.font.woff2.FontCompressionException,java.io.EOFException,com.itextpdf.kernel.xmp.XMPException,com.itextpdf.pdfa.PdfAConformanceException,com.itextpdf.svg.exceptions.SvgProcessingException}

@data
309,"IfStatement","null",true,"out ","com.itextpdf.io.font.woff2.Woff2Out ","","size ","","",com.itextpdf.io.font.woff2.FontCompressionException
310,"IfStatement","null",false,"loca_size ","long ","","","","",com.itextpdf.io.font.woff2.FontCompressionException
311,"IfStatement","null",true,"glyf_table transform_length offset ","int com.itextpdf.io.font.woff2.Woff2Common.Table ","","","","com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException ",com.itextpdf.io.font.woff2.FontCompressionException
312,"IfStatement","null",true,"glyf_table substream_size transform_length offset ","int com.itextpdf.io.font.woff2.Woff2Common.Table ","","","","com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException ",com.itextpdf.io.font.woff2.FontCompressionException
313,"IfStatement","null",false,"have_bbox ","boolean ","","","","com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException ",com.itextpdf.io.font.woff2.FontCompressionException
314,"IfStatement","null",false,"n_points_contour total_n_points ","int ","","","","com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException ",com.itextpdf.io.font.woff2.FontCompressionException
315,"IfStatement","null",false,"flag_stream flag_size ","com.itextpdf.io.font.woff2.Buffer int ","","getLength getOffset ","","com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException ",com.itextpdf.io.font.woff2.FontCompressionException
316,"IfStatement","null",false,"instruction_size total_n_points ","int ","","","","com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException ",com.itextpdf.io.font.woff2.FontCompressionException
317,"IfStatement","null",false,"end_point ","int ","65536 ","","","com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException ",com.itextpdf.io.font.woff2.FontCompressionException
318,"IfStatement","null",false,"has_proportional_lsbs has_monospace_lsbs ","boolean ","","","","com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException ",com.itextpdf.io.font.woff2.FontCompressionException
319,"IfStatement","null",true,"length x_mins num_glyphs ","int short ","NULL ","","","com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException ",com.itextpdf.io.font.woff2.FontCompressionException
320,"IfStatement","null",true,"num_hmetrics num_glyphs ","int ","","","","com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException ",com.itextpdf.io.font.woff2.FontCompressionException
321,"IfStatement","null",true,"num_hmetrics ","int ","","","","com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException ",com.itextpdf.io.font.woff2.FontCompressionException
322,"IfStatement","null",false,"read ","int ","","","","com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException ",com.itextpdf.io.font.woff2.FontCompressionException
323,"IfStatement","null",false,"stream ","com.itextpdf.io.codec.brotli.dec.BrotliInputStream ","","read ","","com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException ",com.itextpdf.io.font.woff2.FontCompressionException
324,"CatchClause","java.io.IOException",true,"brotli_decoding_failed read src_buf src_length remain dst_length src_offset dst_buf dst_offset stream ","int com.itextpdf.io.codec.brotli.dec.BrotliInputStream java.lang.String byte ","","read ","","com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException ",com.itextpdf.io.font.woff2.FontCompressionException
325,"IfStatement","null",false,"remain ","int ","","","","com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException ",com.itextpdf.io.font.woff2.FontCompressionException
326,"IfStatement","null",false,"k loca table tag tag transform_length ","int ","","","","com.itextpdf.io.font.woff2.FontCompressionException ",com.itextpdf.io.font.woff2.FontCompressionException
327,"IfStatement","null",false,"src_offset transform_length ","int ","","","","com.itextpdf.io.font.woff2.FontCompressionException ",com.itextpdf.io.font.woff2.FontCompressionException
328,"IfStatement","null",false,"k loca table tag tables k glyf table tag ","java.util.ArrayList int ","NULL ","findTable ","","com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException ",com.itextpdf.io.font.woff2.FontCompressionException
329,"IfStatement","null",true,"reused font_index ","int boolean ","","","","com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException ",com.itextpdf.io.font.woff2.FontCompressionException
330,"IfStatement","null",true,"transformed_buf_size src_length src_offset table ","int com.itextpdf.io.font.woff2.Woff2Common.Table ","","","","com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException ",com.itextpdf.io.font.woff2.FontCompressionException
331,"IfStatement","null",false,"src_length table ","com.itextpdf.io.font.woff2.Woff2Common.Table int ","","","","com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException ",com.itextpdf.io.font.woff2.FontCompressionException
332,"IfStatement","null",false,"tag table k hmtx table tag ","int com.itextpdf.io.font.woff2.Woff2Common.Table ","","","","com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException ",com.itextpdf.io.font.woff2.FontCompressionException
333,"IfStatement","null",true,"dst_length out dst_offset table ","com.itextpdf.io.font.woff2.Woff2Common.Table int com.itextpdf.io.font.woff2.Woff2Out ","","size ","","com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException ",com.itextpdf.io.font.woff2.FontCompressionException
334,"IfStatement","null",false,"dst_length head_table ","com.itextpdf.io.font.woff2.Woff2Common.Table int ","","","","com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException ",com.itextpdf.io.font.woff2.FontCompressionException
335,"IfStatement","null",false,"k woff2 signature signature ","int ","","","","com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException ",com.itextpdf.io.font.woff2.FontCompressionException
336,"IfStatement","null",true,"length reported_length ","int ","","","","com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException ",com.itextpdf.io.font.woff2.FontCompressionException
337,"IfStatement","null",true,"num_tables hdr ","short com.itextpdf.io.font.woff2.Woff2Dec.Woff2Header ","","","","com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException ",com.itextpdf.io.font.woff2.FontCompressionException
338,"IfStatement","null",true,"meta_offset length meta_length ","int ","","","","com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException ",com.itextpdf.io.font.woff2.FontCompressionException
339,"IfStatement","null",true,"priv_offset length priv_length ","int ","","","","com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException ",com.itextpdf.io.font.woff2.FontCompressionException
340,"IfStatement","null",true,"last_table src_offset uncompressed_size hdr ","int com.itextpdf.io.font.woff2.Woff2Common.Table com.itextpdf.io.font.woff2.Woff2Dec.Woff2Header ","","","","com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException ",com.itextpdf.io.font.woff2.FontCompressionException
341,"IfStatement","null",true,"header_version hdr ","int com.itextpdf.io.font.woff2.Woff2Dec.Woff2Header ","0x00010000 0x00020000 ","","","com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException ",com.itextpdf.io.font.woff2.FontCompressionException
342,"IfStatement","null",true,"table_idx tables length hdr ","int com.itextpdf.io.font.woff2.Woff2Common.Table com.itextpdf.io.font.woff2.Woff2Dec.Woff2Header ","","","","com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException ",com.itextpdf.io.font.woff2.FontCompressionException
343,"IfStatement","null",false,"glyf_table loca_table ","com.itextpdf.io.font.woff2.Woff2Common.Table ","NULL ","","","com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException ",com.itextpdf.io.font.woff2.FontCompressionException
344,"IfStatement","null",true,"compressed_offset max_value hdr ","int com.itextpdf.io.font.woff2.Woff2Dec.Woff2Header long ","","","","com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException ",com.itextpdf.io.font.woff2.FontCompressionException
345,"IfStatement","null",true,"src_offset length ","int long ","","","","com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException ",com.itextpdf.io.font.woff2.FontCompressionException
346,"IfStatement","null",false,"meta_offset src_offset ","int long ","","","","com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException ",com.itextpdf.io.font.woff2.FontCompressionException
347,"IfStatement","null",false,"src_offset max_value ","int long ","","","","com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException ",com.itextpdf.io.font.woff2.FontCompressionException
348,"IfStatement","null",false,"priv_offset src_offset ","int long ","","","","com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException ",com.itextpdf.io.font.woff2.FontCompressionException
349,"IfStatement","null",false,"src_offset max_value ","int long ","","","","com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException ",com.itextpdf.io.font.woff2.FontCompressionException
350,"IfStatement","null",true,"src_offset length ","int long ","","round4 ","","com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException com.itextpdf.io.font.woff2.FontCompressionException ",com.itextpdf.io.font.woff2.FontCompressionException
351,"IfStatement","null",false,"k max plausible compression ratio compression_ratio ","float ","","","","",com.itextpdf.io.font.woff2.FontCompressionException
352,"IfStatement","null",true,"length n_bytes offset ","int ","","","","com.itextpdf.io.font.woff2.FontCompressionException ",com.itextpdf.io.font.woff2.FontCompressionException
353,"IfStatement","null",true,"data_offset length data n_bytes ","int byte ","","","","com.itextpdf.io.font.woff2.FontCompressionException ",com.itextpdf.io.font.woff2.FontCompressionException
354,"IfStatement","null",true,"offset buf_size_ ","int ","","","","",com.itextpdf.io.font.woff2.FontCompressionException
355,"IfStatement","null",true,"transparency length ","int int ","NULL ","","","com.itextpdf.io.IOException ",com.itextpdf.io.IOException
356,"IfStatement","null",true,"ccittg3_1d ccittg3_2d ccittg4 type c c i t t ","int ","","","","com.itextpdf.io.IOException ",com.itextpdf.io.IOException
357,"IfStatement","null",true,"transparency components length ","int int ","NULL ","","","com.itextpdf.io.IOException com.itextpdf.io.IOException ",com.itextpdf.io.IOException
358,"IfStatement","null",true,"components ","int ","","","","com.itextpdf.io.IOException com.itextpdf.io.IOException ",com.itextpdf.io.IOException
359,"IfStatement","null",true,"bpc ","int ","","","","com.itextpdf.io.IOException com.itextpdf.io.IOException ",com.itextpdf.io.IOException
360,"MethodDeclaration","null",true,"bytes no header bmp ","boolean com.itextpdf.io.image.ImageType byte ","","detectImageType ","","",java.lang.IllegalArgumentException
361,"IfStatement","null",true,"page ","int ","","","","",java.lang.IllegalArgumentException
362,"IfStatement","null",true,"page ","int ","","","","",java.lang.IllegalArgumentException
363,"SwitchStatement","null",false,"image type ","com.itextpdf.io.image.ImageType ","","","","",com.itextpdf.io.IOException
364,"SwitchStatement","null",false,"image type ","com.itextpdf.io.image.ImageType ","","","","",com.itextpdf.io.IOException
365,"IfStatement","null",true,"expected type detected type ","com.itextpdf.io.image.ImageType ","","","","",java.lang.IllegalArgumentException
366,"IfStatement","null",true,"expected type detected type ","com.itextpdf.io.image.ImageType ","","","","",java.lang.IllegalArgumentException
367,"IfStatement","null",true,"png image ","com.itextpdf.io.image.ImageData com.itextpdf.io.image.ImageType ","","getOriginalType ","","com.itextpdf.io.IOException ",java.lang.IllegalArgumentException
368,"CatchClause","java.io.IOException",true,"png stream length image size image png ","com.itextpdf.io.image.ImageData com.itextpdf.io.image.PngImageHelper.PngParameters int java.io.InputStream ","NULL ","getData loadData processPng ","","java.lang.IllegalArgumentException ",com.itextpdf.io.IOException
369,"CatchClause","java.lang.Exception",true,"width additional gen b w mask pal shades height png bpc color type decodeparms image interlace method ","com.itextpdf.io.image.PngImageHelper.PngParameters int com.itextpdf.io.image.PngImageData boolean java.util.Map byte com.itextpdf.io.image.RawImageData java.lang.String com.itextpdf.io.colors.IccProfile float com.itextpdf.io.source.ByteArrayOutputStream ","NULL 255 ","put updateRawImageParameters makeMask isIndexed createRawImage setImageMask decodeIdat setProfile isGrayscaleImage toByteArray setDpi ","java.io.IOException ","",com.itextpdf.io.IOException
370,"IfStatement","null",true,"png stream pngid ","int java.io.InputStream int ","","read ","java.io.IOException ","java.io.IOException java.io.IOException ",java.io.IOException
371,"IfStatement","null",false,"len marker ","java.lang.String int ","","checkMarker ","java.io.IOException ","java.io.IOException java.io.IOException ",java.io.IOException
372,"IfStatement","null",false,"","int ","","","java.io.IOException ","java.io.IOException java.io.IOException ",java.io.IOException
373,"SwitchStatement","null",false,"filter ","int ","","","","",com.itextpdf.io.IOException
374,"IfStatement","null",true,"image jpeg2000 ","com.itextpdf.io.image.ImageData com.itextpdf.io.image.ImageType ","","getOriginalType ","","",java.lang.IllegalArgumentException
375,"IfStatement","null",false,"jp2_jp type box ","int com.itextpdf.io.image.Jpeg2000ImageHelper.Jpeg2000Box ","","","","com.itextpdf.io.IOException com.itextpdf.io.IOException com.itextpdf.io.IOException com.itextpdf.io.IOException com.itextpdf.io.IOException com.itextpdf.io.IOException ",com.itextpdf.io.IOException
376,"IfStatement","null",false,"jpeg2000 stream ","java.io.InputStream ","0x0d0a870a ","cio_read ","","com.itextpdf.io.IOException com.itextpdf.io.IOException com.itextpdf.io.IOException com.itextpdf.io.IOException com.itextpdf.io.IOException com.itextpdf.io.IOException ",com.itextpdf.io.IOException
377,"IfStatement","null",false,"type jp2_ftyp box ","int com.itextpdf.io.image.Jpeg2000ImageHelper.Jpeg2000Box ","","","","com.itextpdf.io.IOException com.itextpdf.io.IOException com.itextpdf.io.IOException com.itextpdf.io.IOException com.itextpdf.io.IOException com.itextpdf.io.IOException ",com.itextpdf.io.IOException
378,"IfStatement","null",false,"type box jp2_jp2c ","int com.itextpdf.io.image.Jpeg2000ImageHelper.Jpeg2000Box ","","","","com.itextpdf.io.IOException com.itextpdf.io.IOException com.itextpdf.io.IOException com.itextpdf.io.IOException com.itextpdf.io.IOException com.itextpdf.io.IOException ",com.itextpdf.io.IOException
